@RELATION instrumentClassifier
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {cello,acoustic guitar,clarinet,electric guitar,flute,organ,piano,piano,saxophone,violin}

@DATA
0.055555,0.058406,3.205929,0.139110,0.173211,0.373848,0.006177,0.071194,-22.752881,1.816684,-0.081947,-0.229425,-0.633001,-0.093060,-0.332912,0.404423,0.378670,-0.002621,-0.228582,-0.225858,0.033405,0.020193,0.061844,0.025385,0.010940,0.013611,0.002910,0.024605,0.002001,0.002965,0.006134,0.015493,0.013835,0.027995,0.026576,0.029096,0.074313,0.031340,0.023593,0.237785,0.004094,0.041047,0.516763,0.527049,0.326199,0.325154,0.244153,0.239057,0.264451,0.277294,0.228879,0.250966,0.214913,0.190188,0.153557,0.017438,0.038269,0.018118,0.010921,0.011326,0.003272,0.040412,0.002735,0.004073,0.005723,0.011189,0.014186,0.013238,cello
0.059764,0.053228,3.210533,0.144098,0.174500,0.364786,0.006893,0.076429,-22.827341,1.846153,-0.295878,-0.089731,-0.540964,0.182307,0.062414,0.290906,-0.028820,-0.257530,0.067302,-0.038735,-0.062812,0.018607,0.027062,0.030705,0.012880,0.022809,0.016830,0.038515,0.003042,0.003825,0.005093,0.022813,0.009981,0.028328,0.029121,0.027122,0.081593,0.030846,0.019054,0.246430,0.004508,0.056917,0.566546,0.456619,0.438544,0.389012,0.279653,0.300314,0.287210,0.257472,0.305064,0.270515,0.235533,0.203050,0.178306,0.017649,0.028244,0.027880,0.014929,0.023106,0.021182,0.058265,0.004509,0.004207,0.004939,0.015654,0.012905,0.014092,cello
0.065567,0.053279,3.207650,0.144274,0.172740,0.384376,0.007340,0.085852,-22.936577,2.000566,-0.385985,0.008457,-0.499724,-0.006795,0.024370,0.413752,0.134740,-0.287381,-0.125345,-0.029484,0.120688,0.012504,0.017931,0.047639,0.028030,0.012669,0.005063,0.038126,0.003082,0.002503,0.007517,0.022671,0.010722,0.027065,0.045451,0.027608,0.119080,0.042401,0.023507,0.339260,0.005071,0.077962,0.597494,0.436296,0.431118,0.331941,0.316548,0.302842,0.279597,0.246052,0.231797,0.272927,0.233811,0.213372,0.180503,0.013477,0.019840,0.035484,0.027526,0.012371,0.004451,0.059215,0.004533,0.002370,0.006431,0.017572,0.010173,0.014908,cello
0.056404,0.060268,3.230364,0.139859,0.177152,0.347189,0.005987,0.082888,-22.688587,2.156558,-0.179243,-0.156272,-0.620962,0.085366,-0.231433,0.481838,0.333295,-0.028122,0.042501,-0.070156,0.006185,0.015963,0.030566,0.039310,0.009889,0.007393,0.008943,0.026992,0.001053,0.005281,0.006676,0.036636,0.022582,0.026439,0.038147,0.025393,0.079687,0.039922,0.023451,0.327085,0.004965,0.073699,0.622546,0.499562,0.394938,0.340942,0.286566,0.274958,0.257771,0.297427,0.220486,0.279508,0.215140,0.183063,0.180006,0.011638,0.028470,0.032421,0.015900,0.008131,0.010428,0.036177,0.001507,0.003610,0.004750,0.018830,0.017357,0.010924,cello
0.060483,0.051992,3.205247,0.138658,0.170896,0.373563,0.006469,0.084557,-22.901173,1.983269,-0.123147,-0.089337,-0.552296,0.044394,-0.065630,0.447949,0.156518,-0.179712,-0.123320,-0.172033,0.022191,0.015033,0.023421,0.046877,0.021184,0.013757,0.006829,0.042949,0.001879,0.002503,0.005811,0.025499,0.014870,0.027265,0.041369,0.028237,0.086115,0.042439,0.023249,0.338157,0.004921,0.079042,0.483865,0.410074,0.423287,0.326122,0.296194,0.277552,0.267043,0.287248,0.255594,0.268154,0.195201,0.207781,0.187417,0.014618,0.022773,0.036031,0.022245,0.010903,0.005998,0.062936,0.002311,0.002490,0.005430,0.016230,0.013548,0.014592,cello
0.049971,0.032826,3.101875,0.138548,0.178900,0.305883,0.008346,0.060449,-24.463129,2.582508,0.586889,-0.055322,-0.586991,-0.039075,-0.307480,0.091654,0.067113,-0.188948,-0.270807,-0.317589,-0.158018,0.042297,0.032763,0.044402,0.019264,0.032272,0.003588,0.040148,0.000469,0.004829,0.009173,0.018222,0.011045,0.035116,0.034970,0.023154,0.125859,0.037782,0.021762,0.299517,0.006919,0.061598,0.875077,0.472359,0.431067,0.330962,0.323172,0.315420,0.280114,0.260776,0.233820,0.269115,0.225468,0.213591,0.172493,0.029451,0.026038,0.029658,0.019218,0.018099,0.003372,0.066127,0.000634,0.003947,0.010348,0.021657,0.012857,0.015010,cello
0.051022,0.029333,3.109007,0.140478,0.179795,0.324040,0.010243,0.065193,-24.802645,2.361202,0.494976,0.042087,-0.496655,0.268479,-0.012695,0.011256,-0.255705,-0.416567,-0.117797,-0.094864,-0.112029,0.017855,0.013464,0.041493,0.024498,0.051325,0.015412,0.056994,0.000911,0.002924,0.010363,0.014790,0.004393,0.038123,0.041057,0.022574,0.172408,0.042650,0.021854,0.368404,0.008940,0.079978,0.998544,0.595486,0.448532,0.363894,0.278380,0.278975,0.264978,0.276728,0.271958,0.318513,0.243602,0.218719,0.188356,0.016376,0.015144,0.033246,0.026461,0.033870,0.022256,0.084199,0.001471,0.003163,0.012272,0.017415,0.007958,0.019026,cello
0.055229,0.026170,3.115437,0.145584,0.183026,0.279064,0.006665,0.064525,-25.226559,2.337271,-0.008584,0.093953,-0.677653,-0.221832,-0.113614,0.260314,-0.090579,-0.564288,-0.374812,-0.201751,-0.022345,0.037498,0.025021,0.074728,0.030460,0.017837,0.003783,0.010737,0.000793,0.008055,0.002629,0.006511,0.002838,0.032101,0.035140,0.024838,0.154794,0.036560,0.021165,0.248097,0.005329,0.058763,0.957354,0.415306,0.508511,0.367200,0.211324,0.257923,0.208428,0.265207,0.245769,0.265770,0.205699,0.200617,0.161361,0.020256,0.034915,0.034936,0.031751,0.013155,0.003170,0.005866,0.000896,0.004834,0.001856,0.005037,0.003822,0.009823,cello
0.076251,0.054173,3.238130,0.147724,0.159063,0.599622,0.006302,0.112302,-22.739416,0.154181,-0.589006,0.008936,-0.543446,-0.007257,-0.171416,0.486835,0.022153,-0.571818,-0.501473,-0.205981,0.051778,0.029977,0.025584,0.027776,0.017754,0.018720,0.002540,0.003279,0.003649,0.001629,0.002091,0.003247,0.002584,0.020723,0.031551,0.036424,0.075860,0.025695,0.020125,0.355026,0.005423,0.057611,0.492363,0.437267,0.460710,0.299516,0.251610,0.240703,0.257622,0.205032,0.310251,0.219477,0.173158,0.213845,0.175078,0.034035,0.019133,0.024689,0.019792,0.020443,0.001984,0.002417,0.004500,0.001793,0.001414,0.002149,0.002297,0.012656,cello
0.046885,0.030796,3.140484,0.130204,0.174051,0.283527,0.009105,0.057974,-24.312299,2.375786,0.316956,-0.084632,-0.537811,-0.001620,-0.339056,0.154156,0.117588,-0.109184,-0.254562,-0.319750,-0.114115,0.051967,0.028528,0.038517,0.011194,0.030496,0.003662,0.046218,0.000786,0.002861,0.005544,0.021887,0.014544,0.037088,0.035884,0.022907,0.139390,0.037276,0.023840,0.316344,0.007514,0.066484,0.776527,0.610765,0.422285,0.400985,0.322915,0.303571,0.316967,0.251903,0.258831,0.267742,0.264006,0.199796,0.174048,0.040442,0.026666,0.033035,0.011348,0.023554,0.003024,0.075160,0.001014,0.003854,0.005870,0.020953,0.016417,0.016561,cello
0.049200,0.026903,3.152072,0.129225,0.164071,0.328401,0.009402,0.064517,-24.374624,1.866736,0.368373,0.163535,-0.579911,0.216507,-0.064131,0.164710,-0.189213,-0.395906,-0.170355,-0.140004,-0.074884,0.024796,0.018132,0.036843,0.023323,0.043227,0.015034,0.050082,0.000916,0.002104,0.006693,0.015060,0.004969,0.035954,0.031383,0.022942,0.147190,0.036219,0.023024,0.294361,0.008701,0.056533,1.017107,0.642000,0.401220,0.356012,0.270788,0.275512,0.281003,0.266404,0.288212,0.285298,0.227786,0.222843,0.208703,0.022829,0.022550,0.031866,0.026139,0.036977,0.020090,0.078413,0.001115,0.002045,0.006817,0.016790,0.006725,0.018436,cello
0.059543,0.039483,3.154107,0.139287,0.169582,0.365642,0.010254,0.082957,-24.165352,1.997730,0.102737,0.019594,-0.558714,0.149326,-0.079605,0.375673,0.112808,-0.357892,-0.295272,-0.150841,0.010636,0.022657,0.021341,0.067000,0.016267,0.016483,0.002521,0.051022,0.002196,0.006517,0.004840,0.011312,0.003096,0.034873,0.049785,0.031428,0.140514,0.051840,0.026105,0.407830,0.009730,0.090171,0.944432,0.588452,0.463282,0.363518,0.288136,0.263849,0.244180,0.252666,0.240699,0.278228,0.236419,0.227903,0.175930,0.022827,0.031673,0.046429,0.022398,0.016004,0.001941,0.086767,0.003382,0.003851,0.004601,0.013134,0.004404,0.020023,cello
0.037993,0.040390,3.190301,0.106637,0.156734,0.202370,0.008822,0.048793,-23.496366,2.374503,0.066536,0.031816,-0.404214,0.013776,-0.314151,0.165842,0.140792,-0.177303,-0.112622,-0.103296,0.076381,0.024873,0.024766,0.031864,0.022145,0.024946,0.009585,0.049258,0.002159,0.007643,0.010972,0.029630,0.011161,0.031459,0.020291,0.022792,0.095509,0.031552,0.027575,0.191826,0.007232,0.035365,0.536693,0.429518,0.378543,0.288671,0.279428,0.276305,0.274607,0.236503,0.224761,0.215220,0.199049,0.204811,0.186885,0.020737,0.022346,0.024878,0.015923,0.019824,0.009498,0.068264,0.003966,0.008386,0.007671,0.023556,0.011689,0.014821,cello
0.051252,0.016955,3.146080,0.117236,0.154720,0.393705,0.006504,0.077119,-24.582802,2.246146,-0.112813,0.192627,0.011547,-0.116449,-0.133639,0.029831,0.146092,0.030645,0.010053,0.076623,0.114904,0.020176,0.018057,0.044192,0.007636,0.015615,0.017520,0.058441,0.003720,0.007249,0.015421,0.021757,0.003775,0.027749,0.032385,0.012308,0.128994,0.038438,0.027006,0.289861,0.003605,0.061742,1.182532,0.610961,0.438816,0.327774,0.255707,0.264806,0.244389,0.270544,0.325714,0.285845,0.309849,0.237709,0.233706,0.025267,0.020136,0.031853,0.009862,0.011915,0.016419,0.040410,0.005490,0.010649,0.015776,0.019659,0.005202,0.010288,cello
0.037433,0.018279,3.161665,0.103673,0.156045,0.197667,0.007068,0.049747,-24.429321,2.623964,-0.248931,0.171709,0.024640,-0.147250,-0.178713,-0.008774,0.192280,0.072913,0.018382,0.014724,0.075411,0.018091,0.021186,0.054789,0.006018,0.016358,0.014725,0.060536,0.002680,0.008275,0.027221,0.024544,0.003810,0.030214,0.021270,0.010688,0.115396,0.032162,0.027881,0.180024,0.004088,0.041184,0.939376,0.486273,0.402288,0.267153,0.248730,0.243646,0.242099,0.269594,0.292566,0.217073,0.321055,0.217822,0.195493,0.020650,0.022774,0.041474,0.005994,0.012122,0.013542,0.043592,0.004974,0.010018,0.029209,0.019470,0.004387,0.009402,cello
0.067325,0.017598,3.170391,0.132779,0.152498,0.634301,0.004763,0.109458,-24.134993,1.597180,0.033132,0.102261,0.057189,-0.152522,-0.229717,0.045755,0.183589,0.059106,0.079954,-0.009218,0.102939,0.014853,0.014069,0.035939,0.006428,0.013183,0.013367,0.051221,0.003515,0.008199,0.020131,0.022892,0.004281,0.024817,0.030095,0.011774,0.105672,0.029498,0.021712,0.320174,0.002402,0.065892,1.142286,0.627925,0.371886,0.289374,0.256138,0.277897,0.240932,0.265788,0.274867,0.309038,0.268367,0.239206,0.201606,0.017317,0.015192,0.025334,0.010168,0.011286,0.013609,0.038880,0.005701,0.011580,0.018916,0.019982,0.006427,0.009858,cello
0.060157,0.009052,3.181732,0.117616,0.149364,0.506578,0.004448,0.095814,-25.505309,1.967713,-0.373070,0.180311,0.148240,-0.036125,-0.083823,-0.083639,0.086358,0.000462,0.008688,-0.006540,0.124909,0.021282,0.014397,0.025006,0.006692,0.011724,0.018841,0.025055,0.004831,0.006620,0.017256,0.035276,0.007908,0.018795,0.024196,0.004751,0.094409,0.029443,0.024573,0.293698,0.002201,0.046045,0.768171,0.620871,0.366524,0.309026,0.282592,0.251053,0.234336,0.211470,0.210826,0.209894,0.233769,0.183336,0.181643,0.015161,0.011547,0.019858,0.006232,0.008897,0.011428,0.016686,0.005065,0.005995,0.012803,0.022256,0.007293,0.007636,cello
0.024963,0.008358,3.173824,0.095035,0.167765,0.120728,0.013301,0.033986,-27.763831,3.231514,0.248604,0.221287,0.066489,0.246407,-0.044638,-0.023915,-0.166190,-0.053367,0.060660,0.088747,0.101709,0.012582,0.002320,0.023279,0.007646,0.040369,0.015465,0.046182,0.001066,0.006043,0.038314,0.025273,0.008941,0.035267,0.012673,0.006036,0.116911,0.032776,0.033710,0.114493,0.010493,0.020262,1.508467,0.662318,0.472330,0.395693,0.324527,0.286583,0.275424,0.265874,0.277989,0.268863,0.272256,0.254212,0.190842,0.013892,0.003604,0.019120,0.006951,0.026044,0.020736,0.027736,0.002119,0.007590,0.029546,0.020480,0.012709,0.009078,cello
0.034704,0.025408,3.190069,0.094476,0.153124,0.141164,0.011219,0.050508,-24.480752,2.568541,-0.292799,0.460727,-0.200311,-0.031912,-0.304932,-0.155231,0.051334,0.096365,0.051791,-0.137409,-0.144160,0.018533,0.006227,0.024811,0.012586,0.020559,0.013275,0.022901,0.005799,0.014819,0.021397,0.028954,0.012232,0.023989,0.016552,0.016121,0.107154,0.029542,0.034961,0.148459,0.007139,0.031651,1.138806,0.772261,0.424053,0.427683,0.307121,0.315843,0.313308,0.336272,0.317850,0.303648,0.313143,0.292391,0.265423,0.020931,0.008748,0.024288,0.014123,0.018709,0.018790,0.021026,0.011845,0.021339,0.017985,0.025579,0.014815,0.010978,cello
0.037314,0.023177,3.216126,0.092428,0.146425,0.188735,0.009330,0.056606,-24.281878,2.185578,-0.248569,0.393451,-0.255836,-0.082049,-0.308229,-0.101739,0.026206,0.145221,0.060309,-0.033923,-0.223751,0.018148,0.006639,0.017649,0.013921,0.013461,0.009268,0.019771,0.006800,0.019481,0.024813,0.029709,0.012804,0.022667,0.011059,0.012751,0.087871,0.022063,0.032264,0.139465,0.005731,0.020939,0.757235,0.535448,0.412240,0.421062,0.359412,0.334205,0.321917,0.278005,0.304036,0.282083,0.307766,0.290081,0.247227,0.018972,0.009788,0.015957,0.017980,0.012581,0.010783,0.019271,0.012883,0.023661,0.022769,0.024993,0.016541,0.009521,cello
0.030637,0.018456,3.189488,0.097218,0.160004,0.151068,0.011861,0.042248,-25.171554,2.904893,0.022265,0.361480,-0.034816,0.014279,-0.119806,0.029466,0.241148,0.217562,0.171080,-0.008501,-0.097193,0.016498,0.006436,0.027958,0.011066,0.022136,0.009899,0.021752,0.004915,0.015624,0.032868,0.031859,0.011679,0.025914,0.015323,0.012319,0.110598,0.030484,0.033149,0.148137,0.008806,0.030392,1.297192,0.786544,0.502712,0.522563,0.354392,0.341000,0.362918,0.363031,0.329781,0.312372,0.347001,0.293603,0.233136,0.019332,0.012893,0.026238,0.014443,0.016362,0.016185,0.018012,0.012198,0.023372,0.026459,0.025182,0.015716,0.010586,cello
